Prompt Cards,Special,Set,Sheet,Version Comments,,Response Cards,Set,Sheet,Version Comments
My Old Kentucky ______.,,Cols Against Kentucky 2,Third Party Commercial,,,A White Rope running their fingers through a Catholic Chaplain's coarse gray pubes.,Disgruntled Decks: Air Force Edition,Stand Alone Games,
My only real Peace Corps accomplishment was ______.,,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,,,A white SUV,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
My opponent has an unhealthy obsession with _________.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A white van full of puppies and candy.,"Crows Adopt Vulgarity, Vol. 1",Third Party Commercial,
My other car is a ______.,,Cards for the Masses,Stand Alone Games,,,A white van man.,CAH Base Set,CAH Base Set,
my P.E. teacher invented a new game called ______,,That's What She Said Game,Stand Alone Games,,,A white van man.,CAH: UK Conversion Kit,CAH Base Set,
My parents always make me ______ before school.,,Kids Against Maturity,Stand Alone Games,,,"A white, straight, cis male.",Cats Abiding Horribly: Episode III - The SJWs Strike Back,Third Party Commercial,
My parents found ______ when browsing my web history.,,Cakes Athirst Hilarity Volume 1,Third Party Commercial,,,"A white, upper middle class Rastafarian smoking the ganja.",Carps & Angsty Manatee - Volume 1,Third Party Commercial,
My parents get really mad when they see me _________.,,Not Parent Approved,Stand Alone Games,,,"A whiter, tighter vagina.","Crows Adopt Vulgarity, Vol. 2",Third Party Commercial,
"My parents order chinese food for dinner, and I open the box only to find ______ in my food.",,Kids Against Maturity,Stand Alone Games,,,a whitewashed negro,Dick,Stand Alone Games,
"my partner and I are trying to be more experimental, our safe phrase is _______",,That's What She Said Game - First Expansion,Stand Alone Games,,,A whole baby.,Crabs Adjust Humidity: Volume 5,Third Party Commercial,
My partner uses ______ to mark their territory.,,Carbs of the Huge Manatee - Online Dating Expansion 1,Third Party Commercial,,,A whole baby.,Crazy & Horrible Rabbit - Vol. 1,Third Party Commercial,
"My partner's ""fantasy night"" included ______. It was amazing.",,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,A whole cheese pizza just for me.,Weed Pack,CAH Packs/Commercial Packs,
My perfect day would have to include ______ followed by ______.,PICK 2,Cards and Punishment Vol. One,Third Party Commercial,,,A whole different way of talking called Spanish.,Absurd Box Expansion,CAH Expansions,
My perfet night at home starts with ______ and leads to ______.,PICK 2,The Game Without Decency,Stand Alone Games,,,A whole lot of donuts.,Crabs Adjust Humidity: Volume 3,Third Party Commercial,
My personal trainer showed me this cool thing I could do with ______ and ______.,PICK 2,Carbs of the Huge Manatee: General Expansion 1,Third Party Commercial,,,A whole lot of love,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
My pet name for my high school girlfriend was ______.,,Voter's Choice: The Fourth Expansion,Third Party Commercial,,,A whole lotta nothing.,Not Parent Approved,Stand Alone Games,
My plan for world domination begins with ______.,PICK 2,CAH Base Set,CAH Base Set,,,A whole lotta woman.,CAH: Blue Box Expansion,CAH Expansions,
My plan for world domination begins with ______.,,CAH: First Expansion,CAH Expansions,,,A whole lotta woman.,CAH: Sixth Expansion,CAH Expansions,
My plan for world domination begins with ______.,,CAH: Red Box Expansion,CAH Expansions,,,"A whole new kind of ""play date""",Cads About Maternity - A game for bad mommies,Stand Alone Games,
My post about _________ got the most likes.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A whole new kind of porn.,CAH: Blue Box Expansion,CAH Expansions,
My previous relationship didn't work out because of ________.,,Skewered And Roasted,Stand Alone Games,,,A whole new kind of porn.,CAH: Fifth Expansion,CAH Expansions,
My problem is that I can't get enough of ______.,,Clones Attack Hilarity #1,Third Party Commercial,,,a whole school of tongues in this belly of mine,Bards Dispense Profanity,Stand Alone Games,
My proctologist was quite impressed when he saw ______ on my x-rays.,,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,,,A whole thing of butter.,CAH Base Set,CAH Base Set,
My psychic warns that my future is filled with ______.,,Crabs Adjust Humidity: Volume 4,Third Party Commercial,,,"A whole, hearty cup of shut the fuck up!",Charlie Foxtrot,Third Party Commercial,
My relationship with my mother could be best described as ________.,,Skewered And Roasted,Stand Alone Games,,,A wilderness survivalist who sucks his own dick for protein.,The Worst Card Game: 2016 National Edition,Third Party Commercial,
My relatives won't shut up about _____ at Thanksgiving.,,Conspiracy Theory,Stand Alone Games,,,A willing sheep.,Carbs of the Huge Manatee: General Expansion 1,Third Party Commercial,
my research paper on the human body is titled _______,,That's What She Said Game - First Expansion,Stand Alone Games,,,A Willy Wonka style tour through the JIF plant.,Cols Despite Kentucky,Third Party Commercial,
My road rage really gets out of control when the other driver is ______.,,Bards Dispense Profanity,Stand Alone Games,,,A wily supply specialist who cums FLIPLs and poops hand receipts.,Disgruntled Decks: Army Edition,Stand Alone Games,
My scared oath has sworn me to protect _____ from both _____ and _____.,"DRAW 2, PICK 3","Guards Against Insanity, Edition 1",Third Party Commercial,,,A windmill decorated with decomposing corpses.,Hilarious!,Stand Alone Games,
"My school bag is filled with my lunch, my books, and _________.",,Not Parent Approved,Stand Alone Games,,,A windmill full of corpses.,CAH Base Set,CAH Base Set,
My school bus driver smells like ______.,,Kids Create Absurdity,Stand Alone Games,,,A Wing Commander stealing breast milk from the pumping room's fridge and then dousing himself in dat sweet titty juice.,Disgruntled Decks: Air Force Edition,Stand Alone Games,
My secret fear.,,KinderPerfect: More Expansion Pack,Third Party Commercial,,,A winking Batman with a crappy pair of nipples.,CAH: Procedurally-Generated Cards,CAH Expansions,
My secret guilty pleasure.,,KinderPerfect: Naughty Expansion Pack,Third Party Commercial,,,A winking congressman with a creamy asshole.,CAH: Procedurally-Generated Cards,CAH Expansions,
My secret power?,,Babies vs. Parents,Stand Alone Games,,,A winking garbageman with an infinite dong.,CAH: Procedurally-Generated Cards,CAH Expansions,
My secret to good sex is ________.,,Skewered And Roasted,Stand Alone Games,,,A winking god with a weird ballsack.,CAH: Procedurally-Generated Cards,CAH Expansions,
My senior colleagues treat me the way I treat ______.,,Dick,Stand Alone Games,,,A winking milkman with a glorious pair of nipples.,CAH: Procedurally-Generated Cards,CAH Expansions,
My shrink told me ______ would broaden my horizons.,,Words Against Morality: Volume 2,Third Party Commercial,,,A winking novelist with a tremendous dingus.,CAH: Procedurally-Generated Cards,CAH Expansions,
My significant other loves it when I try ______.,,WTF Did You Say?!?,Stand Alone Games,,,a wire transfer,Skewered And Roasted,Stand Alone Games,
My significant other named their genitals ______.,,WTF Did You Say?!?,Stand Alone Games,,,A wisecracking terrorist.,CAH Base Set,CAH Base Set,
My sister is most annoying when she is _________.,,Not Parent Approved,Stand Alone Games,,,A wish come true,Cards Against Profanity,Stand Alone Games,
"My sister's memoir will no doubt be called ""A Life of ______.""",,The Game Without Decency,Stand Alone Games,,,A woman president.,Period Pack,CAH Packs/Commercial Packs,
"My six things I can't live without?  Air, Friends/Family, iPhone, Good wine, Internet, ______, and ______.  Yeah, that's seven, but I'm a rebel.",PICK 2,Carbs of the Huge Manatee - Online Dating Expansion 1,Third Party Commercial,,,A woman protesting outside an abortion clinic,The Game Without Decency,Stand Alone Games,
My Strange Addiction: ______. Thursdays at 8pm on TLC.,,Evil Apples,Stand Alone Games,,,A woman scorned.,CAH: First Expansion,CAH Expansions,
My strangest date ever involved ______.,,Voter's Choice: The Second Expansion,Third Party Commercial,,,A woman telling a man how to do it correctly.,WTF Did You Say?!?,Stand Alone Games,
"My teacher doesn't care about us students, she's only saving up money for ______.",,The Game Without Decency,Stand Alone Games,,,A woman.,CAH: Blue Box Expansion,CAH Expansions,
My teacher pulls me aside to propose that I switch to a school specifically for _______.,,Kids Against Maturity,Stand Alone Games,,,A woman's virginity.,"Guards Against Insanity, Edition 4",Third Party Commercial,
"My teachers always used to tell me nothing good would come of me. Well, jokes on them, because today I can proudly say I am ______.",,Cats Abiding Horribly: Episode II - A New Low,Third Party Commercial,,,A woman’s perspective.,CAH: Green Box Expansion,CAH Expansions,
My therapist has uncovered repressed memories of ______ from my early childhood.,,"Guards Against Insanity, Edition 5",Third Party Commercial,,,A woman’s right to choose.,CAH: Green Box Expansion,CAH Expansions,
My therapist says I have an unhealthy attitude about ______.,,Crabs Adjust Humidity: Volume 5,Third Party Commercial,,,"a wonder, if you talk of a wonder",Bards Dispense Profanity,Stand Alone Games,
My Therapist says I have an unhealthy attitude about _____.,,Crazy & Horrible Rabbit - Vol. 1,Third Party Commercial,,,a wood woman,Bards Dispense Profanity,Stand Alone Games,
My therapist told me to avoid ______.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,A Woody Allen movie marathon.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,Third Party Commercial,
My time in office will focus on the _________ crisis.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A wookie with an MCMAP Black Belt.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
My tinfoil hat blocks out ______.,,Conspiracy Theory,Stand Alone Games,,,A working party composed of best friends making memories and having lots of laughs!,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
My tour of the White House radically escalated when Secret Service caught a glimpse of ______ in my bag.,,Crabs Adjust Humidity: Volume 2,Third Party Commercial,,,A world without boxes.,CAH: Box Expansion,CAH Expansions,
My training didn't prepare me for ______.,,JadedAid: Peace Corps Expansion Pack,Third Party Commercial,,,A worn copy of The Art of the Deal.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
My two favorite pizza toppings are olives and ______.,,Kids Create Absurdity,Stand Alone Games,,,A wrecking ball.,Babies vs. Parents,Stand Alone Games,
My two prong strategy for winning this election: _________ and _________.,PICK 2,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A wrongly amputated limb.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,Third Party Commercial,
my uncle Harry woke me up in the middle of the night and whispered ______,,That's What She Said Game,Stand Alone Games,,,A Yale man.,CAH: College Pack,CAH Packs,
My uncle has a wardrobe in his house that leads to ______.,,Crabs Adjust Humidity: Volume 6,Third Party Commercial,,,A Yankee Bastard,Personally Incorrect,Stand Alone Games,
My vacation to the Amazon ended with me sucking out venom from _______.,,Cats Abiding Horribly: Episode III - The SJWs Strike Back,Third Party Commercial,,,A year's salary from the Shuttleworth Foundation to do whatever the fuck you want,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
My vagina's angry. My vagina's furious and needs to talk. It needs to talk about ______.,,Period Pack,CAH Packs/Commercial Packs,,,A year's supply of Viagra,The Game Without Decency,Stand Alone Games,
My wife and I both love ______. That's why our marriage is so strong.,,Evil Apples,Stand Alone Games,,,A years supply of turkey jerky,Kids Against Maturity,Stand Alone Games,
"My wife has no idea, but before we have sex, I look at pictures of ____ on my phone because she just can’t make me hard anymore.",,Cards With No Sexuality,Third Party Commercial,,,A yeast infection.,Voter's Choice: The Second Expansion,Third Party Commercial,
My wife Melania will be a great First Lady. Her most important platform will be _________.,,Humanity Hates Trump: Base Set,Stand Alone Games,,,A yellow jacket in the outhouse.,Carps & Angsty Manatee - Texas Edition,Third Party Commercial,
My worst date ever involved ______.,,Cards Against Profanity,Stand Alone Games,,,A yellow submarine,Cards Against Profanity,Stand Alone Games,
My worst enemy once tried to defeat me with ______.,,Evil Apples,Stand Alone Games,,,a yoga instructor's ass,Evil Apples,Stand Alone Games,
Nanotech! All it does is make ______ smaller.,,Conspiracy Theory,Stand Alone Games,,,A young and beautiful piece of ass.,Humanity Hates Trump: Base Set,Stand Alone Games,
"Naturally, ______ came up in the divorce hearing.",,Evil Apples,Stand Alone Games,,,A young Charlie Manson,The Game Without Decency,Stand Alone Games,
Nature abhors _____.,,"Guards Against Insanity, Edition 1",Third Party Commercial,,,"A younger, vastly more attractive spouse.",Crabs Adjust Humidity: Volume 2,Third Party Commercial,
Need to get revenge on a jacket-wearing OS? Try cramming their freshly polished boots inside of ______.,,Disgruntled Decks: Navy Edition,Stand Alone Games,,,A youth minister,The Game Without Decency,Stand Alone Games,
